Draw,Date,Winning Number 1,2,3,4,5,6,Bonus Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize
1023,2022-07-09,10,14,16,18,29,35,25,29,4,2,2,4,1,3,1,1,0,9,2745677875,72,57201623,2506,1643463,127810,50000,2172239,5000
1022,2022-07-02,5,6,11,29,42,45,28,"29,45",3,3,4,2,2,1,1,0,2,5,4866468075,63,64371271,2580,1571857,127962,50000,2155059,5000
1021,2022-06-25,12,15,17,24,29,45,16,"12,29,45",3,3,4,2,0,3,2,0,1,12,2108962250,56,75320081,2461,1713907,126484,50000,2182497,5000
1020,2022-06-18,12,27,29,38,41,45,6,,1,5,4,2,0,1,2,1,2,13,1966431520,77,55332489,2817,1512461,138221,50000,2300467,5000
1019,2022-06-11,1,4,13,17,34,39,6,,4,2,4,2,2,2,0,2,0,50,438565140,75,48729460,5823,627634,192646,50000,2506493,5000
1018,2022-06-04,3,19,21,25,37,45,35,,3,3,6,0,1,1,2,1,1,2,12361744688,62,66460993,2693,1530109,130602,50000,2216230,5000
1017,2022-05-28,12,18,22,23,30,34,32,34,3,3,1,5,0,2,3,1,0,7,3517684822,70,58628081,2596,1580881,133621,50000,2235724,5000
1016,2022-05-21,15,26,28,34,41,42,44,,1,5,2,4,0,1,2,1,2,11,2260660671,68,60949185,2686,1543018,132413,50000,2202914,5000
1015,2022-05-14,14,23,31,33,37,40,44,14,1,5,4,2,0,1,1,4,0,8,3051105610,102,39883734,2880,1412549,144321,50000,2304033,5000
1014,2022-05-07,3,11,14,18,26,27,21,26,4,2,3,3,1,3,2,0,0,10,2410449338,69,58223414,2849,1410115,143906,50000,2372712,5000
1013,2022-04-30,21,22,26,34,36,41,32,,2,4,2,4,0,0,3,2,1,5,5047570725,79,53244417,2586,1626570,128697,50000,2157701,5000
